,city,Lat,Long,MaxTemp,Humidity,Cloundiness,Wind Speed
0,Khasan,42.43,130.64,277.63,65,0,9.18
1,Chokurdakh,70.63,147.92,259.66,89,66,2.32
2,Puerto Ayora,-0.74,-90.35,292.04,96,100,1.79
3,Hobart,-42.88,147.33,285.37,76,75,2.1
4,Airai,-8.93,125.41,291.22,100,67,0.55
5,Jamestown,42.1,-79.24,287.59,93,20,3.1
6,Taldan,53.67,124.8,268.22,93,0,1.49
7,Bredasdorp,-34.53,20.04,298.15,61,75,5.1
8,São Filipe,14.9,-24.5,300.89,70,2,4.04
9,Clyde River,70.47,-68.59,265.15,85,90,1.0
10,Durham,36.03,-78.87,289.82,100,75,1.2
11,Mar del Plata,-38.0,-57.56,287.15,100,90,1.5
12,Busselton,-33.65,115.33,287.04,47,0,6.22
13,Kropotkin,45.44,40.58,292.85,45,98,2.57
14,Kattivākkam,13.22,80.32,304.15,74,75,2.1
15,Sistranda,63.73,8.83,280.15,75,40,2.6
16,Bambous Virieux,-20.34,57.76,299.15,61,40,5.7
17,Tegul'det,57.31,88.17,273.58,93,83,3.21
18,Kaitangata,-46.28,169.85,283.77,89,100,1.23
19,Rikitea,-23.12,-134.97,296.49,79,41,1.48
20,Hamilton,39.18,-84.53,292.04,82,75,3.6
21,Port Alfred,-33.59,26.89,298.4,69,47,7.83
22,Leningradskiy,69.38,178.42,269.24,91,0,1.91
23,Mataura,-46.19,168.86,285.37,79,99,2.68
24,Vaini,-21.2,-175.2,295.15,88,75,3.1
25,Bengkulu,-3.8,102.27,299.75,82,100,1.39
26,Bluff,-46.6,168.33,285.37,79,100,2.68
27,Mehamn,71.04,27.85,276.15,86,75,10.3
28,Bonavista,48.65,-53.11,278.71,82,45,3.13
29,Qaanaaq,77.48,-69.36,266.79,92,100,3.73
30,Tuktoyaktuk,69.45,-133.04,270.12,97,99,6.42
31,Narón,43.52,-8.15,290.93,63,75,5.1
32,Vila Franca do Campo,37.72,-25.43,292.15,72,40,5.7
33,Ancud,-41.87,-73.82,283.71,93,75,4.6
34,Pundaguitan,6.37,126.17,301.83,74,100,3.47
35,Honiara,-9.43,159.95,297.15,94,20,1.0
36,Westport,41.14,-73.36,291.15,93,90,5.1
37,Caravelas,-17.71,-39.25,297.18,84,100,1.87
38,Hambantota,6.12,81.12,304.15,62,20,5.1
39,Faanui,-16.48,-151.75,299.01,73,100,3.27
40,Chui,-33.7,-53.46,291.84,91,100,3.38
41,Melfi,41.0,15.65,294.26,52,0,2.1
42,San Quintín,30.48,-115.95,290.92,75,100,2.05
43,Kumul,42.8,93.45,283.66,41,0,1.2
44,Olafsvik,64.89,-23.71,279.34,66,100,15.64
45,Punta Arenas,-53.15,-70.92,280.15,81,75,2.1
46,Chanduasi,28.45,78.77,299.42,19,0,3.17
47,Petropavlovsk-Kamchatskiy,53.05,158.65,274.15,100,90,3.0
48,Ilulissat,69.22,-51.1,266.15,67,75,2.6
49,Timberlake,37.32,-79.26,287.59,93,1,0.33
50,Kapaa,22.08,-159.32,295.37,79,26,4.02
51,Napier City,-39.48,176.92,288.15,94,0,0.45
52,Saint-Philippe,-21.36,55.77,298.15,65,90,8.2
53,Lebu,-37.62,-73.65,284.05,66,100,1.27
54,Sri Aman,1.24,111.46,298.15,94,100,0.98
55,Wuda,39.5,106.71,284.72,41,0,8.2
56,Āsosa,10.07,34.53,297.21,82,100,0.97
57,Hilo,19.73,-155.09,296.15,78,1,2.6
58,Kuching,1.55,110.33,297.15,94,40,1.5
59,Banyo,6.75,11.82,301.44,45,62,3.97
60,Dikson,73.51,80.55,268.45,94,100,6.75
61,Kibi,6.16,-0.55,302.03,68,95,1.44
62,Muzhi,65.37,64.67,265.99,94,8,2.61
63,Nelson Bay,-32.72,152.15,294.26,83,100,3.6
64,Geraldton,-28.77,114.6,293.15,64,0,7.7
65,Castro,-24.79,-50.01,294.15,66,8,4.78
66,Albany,42.6,-73.97,290.37,90,36,2.73
67,Hong Kong,22.29,114.16,298.15,43,100,7.2
68,Butaritari,3.07,172.79,300.93,73,68,5.45
69,Lompoc,34.64,-120.46,289.15,82,90,1.2
70,Okha,53.57,142.95,281.11,97,100,9.52
71,Upernavik,72.79,-56.15,267.61,93,100,3.26
72,Siddipet,18.1,78.85,297.49,70,100,2.68
73,Northampton,40.88,-75.25,290.93,97,75,0.91
74,Bethel,41.37,-73.41,290.37,96,100,2.41
75,Pevek,69.7,170.31,270.53,95,0,5.28
76,Carnarvon,-24.87,113.63,295.15,83,0,6.7
77,Adrar,20.5,-10.07,308.09,11,0,2.33
78,Bac Lieu,9.29,105.72,298.74,86,100,2.82
79,Wanning,18.8,110.4,295.34,69,100,6.47
80,Saldanha,-33.01,17.94,292.15,72,24,4.1
81,Severo-Kuril'sk,50.68,156.12,279.86,79,100,7.75
82,Hamada,34.88,132.08,285.93,26,100,3.58
83,Thompson,55.74,-97.86,267.15,85,90,3.1
84,Vila,42.03,-8.16,285.93,82,98,4.47
85,Doha,25.29,51.53,305.93,35,0,4.1
86,Hermanus,-34.42,19.23,297.59,70,21,2.24
87,Marawi,8.0,124.29,296.48,92,100,2.24
88,Piaçabuçu,-10.41,-36.43,301.68,63,8,5.21
89,Ushuaia,-54.8,-68.3,279.15,70,40,5.1
90,Orissaare,58.56,23.08,283.71,93,90,4.1
91,Anadyr,64.75,177.48,268.15,100,90,3.0
92,Khatanga,71.97,102.5,258.94,95,100,4.48
93,Kavaratti,10.57,72.64,300.64,74,99,7.43
94,Atuona,-9.8,-139.03,298.42,77,1,6.92
95,San Policarpo,12.18,125.51,301.13,82,100,1.19
96,Hirara,24.8,125.28,295.82,74,100,12.09
97,Beira,-19.84,34.84,301.15,61,20,7.2
98,Arica,-18.48,-70.3,292.04,77,90,1.5
99,Swan River,52.11,-101.27,265.4,94,92,3.14
100,Deputatsky,69.3,139.9,254.81,87,92,1.39
101,Port Lincoln,-34.73,135.87,285.71,76,6,8.82
102,Iqaluit,63.75,-68.51,270.15,86,75,2.0
103,Apsheronsk,44.46,39.73,292.72,34,100,1.23
104,Benguela,-12.58,13.41,301.15,74,40,2.6
105,Inhambane,-23.86,35.38,302.15,48,40,6.2
106,Nikolskoye,59.7,30.79,284.26,87,90,4.0
107,George Town,5.41,100.34,301.15,74,20,1.5
108,Marabu,4.41,114.01,302.15,79,40,2.6
109,Magdagachi,53.45,125.8,267.4,93,0,1.68
110,Mahébourg,-20.41,57.7,299.15,61,40,5.7
111,San Ignacio Río Muerto,27.42,-110.23,296.7,85,0,3.42
112,Yaring,6.87,101.37,298.15,94,20,2.18
113,College,64.86,-147.8,266.48,77,1,1.82
114,Nanortalik,60.14,-45.24,274.27,84,100,5.9
115,Arlit,18.74,7.39,309.26,8,0,12.23
116,Cape Town,-33.93,18.42,296.15,56,20,4.1
117,Yumen,40.28,97.2,280.2,48,48,3.44
118,Miguel Hidalgo,19.42,-99.2,281.15,70,5,2.1
119,Katsuura,35.13,140.3,291.15,88,75,3.6
120,Suntar,62.14,117.63,276.09,88,93,3.81
121,Saint Paul Harbor,57.79,-152.41,280.15,93,90,12.3
122,Sungai Padi,6.09,101.88,298.15,88,40,2.1
123,Hithadhoo,-0.6,73.08,301.85,75,0,6.06
124,Chengde,40.97,117.94,279.33,55,0,1.51
125,Ribeira Grande,38.52,-28.7,294.15,68,40,4.6
126,Vallenar,-28.57,-70.76,292.32,48,0,2.11
127,Tungor,53.38,142.96,281.22,96,100,9.16
128,Chicama,-7.84,-79.15,289.15,93,90,4.6
129,Talnakh,69.49,88.4,254.15,84,40,5.0
130,Cooma,-36.23,149.13,286.15,100,75,3.6
131,Aklavik,68.22,-135.01,271.15,100,90,2.1
132,Mount Gambier,-37.83,140.77,285.15,87,90,8.2
133,Libin,49.98,5.28,289.26,98,100,4.28
134,Nemuro,43.32,145.57,288.38,96,100,7.08
135,Atar,20.52,-13.05,309.16,13,92,4.63
136,Xiaoweizhai,26.19,107.51,285.81,74,52,1.64
137,New Norfolk,-42.78,147.06,285.37,78,100,0.46
138,Port Elizabeth,-33.92,25.57,295.15,83,20,6.2
139,Hiji,33.37,131.53,285.15,71,20,2.6
140,Reconquista,-29.15,-59.65,299.33,76,100,3.01
141,Yenagoa,4.92,6.26,303.42,71,74,1.58
142,Ponta do Sol,32.67,-17.1,294.15,52,20,7.2
143,San Cristobal,7.77,-72.22,301.15,58,75,6.2
144,Port Keats,-14.25,129.55,301.18,73,0,2.95
145,Alofi,-19.06,-169.92,297.15,94,100,4.1
146,Pangody,65.85,74.49,266.44,98,96,4.44
